"Year","Quarter ID","Quarter","State ID","State","Trade Value","Time"
2016,20162,"2016-Q2",14,"Jalisco",22259123,1462078800000
2016,20162,"2016-Q2",16,"Michoacán de Ocampo",416989455,1462078800000
2016,20163,"2016-Q3",9,"Ciudad de México",927114,1470027600000
2016,20163,"2016-Q3",14,"Jalisco",49331904,1470027600000
2016,20163,"2016-Q3",16,"Michoacán de Ocampo",601416842,1470027600000
2016,20163,"2016-Q3",18,"Nayarit",687594,1470027600000
2016,20163,"2016-Q3",19,"Nuevo León",1532770,1470027600000
2016,20163,"2016-Q3",22,"Querétaro",232633,1470027600000
2016,20164,"2016-Q4",2,"Baja California",217436,1477980000000
2016,20164,"2016-Q4",9,"Ciudad de México",399862,1477980000000
2016,20164,"2016-Q4",14,"Jalisco",44441643,1477980000000
2016,20164,"2016-Q4",16,"Michoacán de Ocampo",586934580,1477980000000
2016,20164,"2016-Q4",18,"Nayarit",1486083,1477980000000
2016,20164,"2016-Q4",19,"Nuevo León",2814043,1477980000000
2016,20164,"2016-Q4",22,"Querétaro",187681,1477980000000
2017,20171,"2017-Q1",9,"Ciudad de México",269547,1485928800000
2017,20171,"2017-Q1",14,"Jalisco",40088030,1485928800000
2017,20171,"2017-Q1",16,"Michoacán de Ocampo",640578979,1485928800000
2017,20171,"2017-Q1",19,"Nuevo León",1537394,1485928800000
2017,20171,"2017-Q1",22,"Querétaro",1487862,1485928800000
2017,20172,"2017-Q2",14,"Jalisco",32130259,1493614800000
2017,20172,"2017-Q2",16,"Michoacán de Ocampo",614818534,1493614800000
2017,20173,"2017-Q3",14,"Jalisco",73306330,1501563600000
2017,20173,"2017-Q3",16,"Michoacán de Ocampo",714353627,1501563600000
2017,20173,"2017-Q3",18,"Nayarit",288868,1501563600000
2017,20173,"2017-Q3",19,"Nuevo León",463644,1501563600000
2017,20173,"2017-Q3",22,"Querétaro",608048,1501563600000
2017,20174,"2017-Q4",9,"Ciudad de México",1033405,1509516000000
2017,20174,"2017-Q4",11,"Guanajuato",451748,1509516000000
2017,20174,"2017-Q4",14,"Jalisco",54671755,1509516000000
2017,20174,"2017-Q4",16,"Michoacán de Ocampo",649066278,1509516000000
2017,20174,"2017-Q4",17,"Morelos",327051,1509516000000
2017,20174,"2017-Q4",18,"Nayarit",1898467,1509516000000
2017,20174,"2017-Q4",19,"Nuevo León",1409662,1509516000000
2018,20181,"2018-Q1",9,"Ciudad de México",819403,1517464800000
2018,20181,"2018-Q1",14,"Jalisco",50651665,1517464800000
2018,20181,"2018-Q1",15,"Estado de México",245309,1517464800000
2018,20181,"2018-Q1",16,"Michoacán de Ocampo",659580976,1517464800000
2018,20181,"2018-Q1",17,"Morelos",1225400,1517464800000
2018,20181,"2018-Q1",18,"Nayarit",672781,1517464800000
2018,20181,"2018-Q1",19,"Nuevo León",557420,1517464800000
2018,20182,"2018-Q2",9,"Ciudad de México",64071,1525150800000
2018,20182,"2018-Q2",11,"Guanajuato",421632,1525150800000
2018,20182,"2018-Q2",14,"Jalisco",30797651,1525150800000
2018,20182,"2018-Q2",16,"Michoacán de Ocampo",613462066,1525150800000
2018,20182,"2018-Q2",17,"Morelos",1261819,1525150800000
2018,20182,"2018-Q2",19,"Nuevo León",462414,1525150800000
2018,20183,"2018-Q3",9,"Ciudad de México",758578,1533099600000
2018,20183,"2018-Q3",14,"Jalisco",57142040,1533099600000
2018,20183,"2018-Q3",15,"Estado de México",881659,1533099600000
2018,20183,"2018-Q3",16,"Michoacán de Ocampo",561947399,1533099600000
2018,20183,"2018-Q3",17,"Morelos",96266,1533099600000
2018,20183,"2018-Q3",18,"Nayarit",378862,1533099600000
2018,20183,"2018-Q3",19,"Nuevo León",673649,1533099600000
2018,20184,"2018-Q4",9,"Ciudad de México",1250935,1541052000000
2018,20184,"2018-Q4",11,"Guanajuato",505497,1541052000000
2018,20184,"2018-Q4",14,"Jalisco",48620635,1541052000000
2018,20184,"2018-Q4",15,"Estado de México",1031664,1541052000000
2018,20184,"2018-Q4",16,"Michoacán de Ocampo",544520759,1541052000000
2018,20184,"2018-Q4",17,"Morelos",1248727,1541052000000
2018,20184,"2018-Q4",18,"Nayarit",459560,1541052000000
2018,20184,"2018-Q4",19,"Nuevo León",663456,1541052000000
2018,20184,"2018-Q4",28,"Tamaulipas",394841,1541052000000
2019,20191,"2019-Q1",9,"Ciudad de México",986404,1549000800000
2019,20191,"2019-Q1",14,"Jalisco",46676579,1549000800000
2019,20191,"2019-Q1",15,"Estado de México",416926,1549000800000
